frame,ball_x,ball_y,ball_w,ball_h,ball_visible,lfoot_x,lfoot_y,lfoot_visible,rfoot_x,rfoot_y,rfoot_visible,lknee_x,lknee_y,rknee_x,rknee_y,head_x,head_y,ball_dy,ball_dy2,lfoot_dy,rfoot_dy,lknee_dy,rknee_dy,lfoot_rfoot_dy,lfoot_rfoot_dist,ball_lfoot_dist,ball_rfoot_dist
0,0.7405356466770172,0.9282628893852234,0.04974883794784546,0.08755040168762207,1,0.710176944732666,0.8749496936798096,1,0.745452880859375,0.8743788003921509,1,0.6939349174499512,0.741633951663971,0.7020596265792847,0.730496346950531,0.6730690002441406,0.4782957434654236,,,,,,,0.0005708932876586914,0.03528055539190881,0.06135101971499502,0.054107986828355624
1,0.7434448092279579,0.9328601356399686,0.04984527826309204,0.08670514822006226,1,0.7120384673651,0.9053873020903509,1,0.7519484012198628,0.8730771485576057,1,0.6941806491380348,0.7602124902090632,0.7051122281560324,0.7310030969013844,0.680678784511143,0.48159630602239667,0.004597246254745224,,0.030437608410541328,-0.0013016518345452255,0.018578538545092282,0.0005067499508534246,0.032310153532745245,0.05134928277591727,0.041726668839624594,0.060384738314037324
2,0.7423299928996883,0.9324618892242986,0.049981772899627686,0.08622103929519653,1,0.7109654593345149,0.8916614700087006,1,0.7538338554859868,0.871042319513269,1,0.6942661570240143,0.7566105868932003,0.7048788339265333,0.7309881232282986,0.6839507525937328,0.4815926251923151,-0.0003982464156699894,-0.004995492670415214,-0.013725832081650347,-0.0020348290443366057,-0.0036019033158629643,-1.4973673085783012e-05,0.020619150495431504,0.04756940987391772,0.05146268720081987,0.0624876179566197
3,0.7400831388585827,0.9313614895804267,0.04976201057434082,0.0860910415649414,1,0.7106364640387794,0.8846009785906555,1,0.7496687475477372,0.8743638859969938,1,0.6941923369817987,0.7502001187167335,0.7036862657805563,0.7334333381585286,0.6874486629806267,0.47816390988844565,-0.0011003996438718744,-0.000702153228201885,-0.007060491418045101,0.003321566483724725,-0.006410468176466733,0.0024452149302299775,0.010237092593661679,0.040352412823706774,0.05525985926482039,0.05779801647284936
4,0.7376234634201695,0.9295279184765861,0.04946786165237427,0.08626508712768555,1,0.7107317737613006,0.8847435967438901,1,0.7463500707609813,0.8737192043009393,1,0.6936481111554229,0.7476194750874824,0.7025526414508093,0.735279098876863,0.6888738387501459,0.47210483896653327,-0.0018335711038406366,-0.0007331714599687622,0.00014261815323468596,-0.0006446816960544721,-0.0025806436292511448,0.0018457607183344216,0.011024392442950837,0.03728539003274141,0.05223790238673967,0.05648686797495283
5,0.7350837694026838,0.9260896146331135,0.049222350120544434,0.08606463670730591,1,0.7107739376592496,0.8844347692497806,1,0.7419938048956386,0.8733730166377464,1,0.6914176564332867,0.7475980645616903,0.6992444450408849,0.7360738485741392,0.6918108214530595,0.4725756221959776,-0.0034383038434726565,-0.00160473273963202,-0.0003088274941095426,-0.0003461876631929428,-2.141052579207603e-05,0.0007947496972761092,0.011061752612034237,0.033121631619043225,0.0482295973786165,0.053167549263804105
6,0.7317058223020174,0.9214994570431506,0.04885292053222656,0.0851791501045227,1,0.7088342427203721,0.8707599413578063,1,0.7346043695011435,0.8732525345875108,1,0.687131526345866,0.7481508069168804,0.6942146565552902,0.7353079098026881,0.6948441158090491,0.4741656793041368,-0.00459015758996284,-0.0011518537464901835,-0.013674827891974273,-0.00012048205023551528,0.0005527423551900945,-0.0007659387714510357,-0.0024925932297045206,0.025890393108367434,0.05565615513618269,0.048333912549121026
7,0.727985661743018,0.9186920193478085,0.04955369234085083,0.08420008420944214,1,0.7051982852937664,0.8693479585538142,1,0.7361270904184203,0.874290511310645,1,0.6851638796045774,0.7473778447629581,0.6895575241238374,0.7341570067980889,0.6981619427172951,0.47680449676422226,-0.0028074376953420854,0.0017827198946207545,-0.001411982803992129,0.0010379767231341042,-0.0007729621539223075,-0.0011509030045991908,-0.004942552756830754,0.031321235834380366,0.05435164083154545,0.045141740959459734
8,0.7224489552848306,0.9123967458926378,0.047730445861816406,0.08241075277328491,1,0.7088181824575331,0.8731589220273045,1,0.710938648024049,0.8795240409838575,1,0.6865038165663909,0.7376495317140311,0.6849828561211091,0.7330026579438091,0.6991453390157779,0.4838247168211286,-0.00629527345517078,-0.0034878357598286946,0.003810963473490303,0.005233529673212556,-0.009728313048926962,-0.0011543488542797853,-0.006365118956553006,0.006709032236459298,0.04153799212234873,0.03482961241899405
9,0.7163125459495523,0.9029862700434471,0.047946035861968994,0.08329260349273682,1,0.7095436618445962,0.8749508523703763,1,0.6955495708214782,0.881054223728227,1,0.6881277657555669,0.7281825075566041,0.6815387990483152,0.7327191001674531,0.6999013591096697,0.48987246051408845,-0.009410475849190636,-0.003115202394019856,0.0017919303430717903,0.001530182744369446,-0.009467024157427062,-0.00028355777635602486,-0.006103371357850662,0.01526714529619547,0.02884098535296358,0.030201254804096918
10,0.7104290274049463,0.8898752115918864,0.046028316020965576,0.07973736524581909,1,0.7094905877933443,0.8772003012726852,1,0.69402259828224,0.8783339452778787,1,0.6884858538367132,0.7303314450157593,0.6786831782040057,0.7357238122985743,0.6984274882635546,0.495259814969142,-0.013111058451560686,-0.0037005826023700505,0.002249448902308937,-0.002720278450348279,0.0021489374591552313,0.00300471213112119,-0.001133644005193446,0.015509476079034495,0.012709603475499025,0.020059205983518773
11,0.7048826808210938,0.8808922474090384,0.04444897174835205,0.08019310235977173,1,0.6998145033861887,0.8784036634998598,1,0.7033853392068984,0.8738141252422676,1,0.6879624355786832,0.7371354924241093,0.6783072133025312,0.7418418969825727,0.6983997384191036,0.5032469442775411,-0.008982964182848052,0.004128094268712634,0.0012033622271745426,-0.004519820035611022,0.006804047408349945,0.006118084683998437,0.004589538257592118,0.0058150434113912975,0.0056461909624723715,0.007234766431429049
12,0.6998242422723967,0.8771497013595418,0.043920278549194336,0.07938218116760254,1,0.695471149300974,0.877453030209593,1,0.7009882661499441,0.8699223899969883,1,0.6878261071687958,0.7452871129434572,0.677269559261599,0.748071293038708,0.6996584886569596,0.5090773456827666,-0.0037425460494965312,0.005240418133351521,-0.0009506332902667891,-0.003891735245279304,0.008151620519347924,0.006229396056135261,0.0075306402126046335,0.009335369319790641,0.004363648337013795,0.0073204495161701315
13,0.6999321816143808,0.8656616941753911,0.04347193241119385,0.078768789768219,1,0.6994238222107201,0.8717855032366217,1,0.7060500837289932,0.8633551067803265,1,0.6869870495867582,0.7494268580427277,0.6734540737191971,0.748338217752457,0.7034060178733744,0.509100976056405,-0.011488007184150772,-0.007745461134654241,-0.005667526972971237,-0.00656728321666189,0.004139745099270509,0.00026692471374900606,0.008430396456295286,0.010722822674970614,0.006144873204688691,0.006538277425671919
14,0.7046223487810934,0.8386207373762337,0.043849170207977295,0.07663619518280029,1,0.7132130499995257,0.8577967797254444,1,0.7095903931834645,0.8551770466126876,1,0.6844180438542138,0.7467572291245616,0.6675572494861552,0.7513108320566134,0.705626937647925,0.5129482425578069,-0.027040956799157412,-0.01555294961500664,-0.013988723511177303,-0.00817806016763889,-0.0026696289181661337,0.002972614304156407,0.0026197331127568724,0.004470642458196544,0.021012395094398437,0.017285625262541692
15,0.7112539793672586,0.8111511357317935,0.04347515106201172,0.07666242122650146,1,0.7255161112814624,0.855946395732902,1,0.7029558395291884,0.861255813866865,1,0.6796703796720703,0.7460146620917628,0.6653442642281746,0.751076345032662,0.7067215337927432,0.5123253107709889,-0.027469601644440123,-0.00042864484528271074,-0.0018503839925424481,0.006078767254177442,-0.0007425670327987355,-0.00023448702395145737,-0.0053094181339630175,0.02317662146339948,0.047010889433247875,0.050787182396656715
16,0.7155072615877377,0.7905274516293693,0.04398232698440552,0.0776401162147522,1,0.7138027318134512,0.882229737801337,1,0.6978597835872982,0.9068480327671182,1,0.6761916313952433,0.7600717020689631,0.6642951460125559,0.7645915840473781,0.7059121087147762,0.511741660664058,-0.02062368410242421,0.006845917542015911,0.026283342068434967,0.04559221890025322,0.014057039977200314,0.013515239014716185,-0.024618294965781273,0.029329814952774733,0.0917181264032191,0.11765165139512332
17,0.7184722215406957,0.7787720348705113,0.044040560722351074,0.07679325342178345,1,0.7021969842152036,0.9008062572381492,1,0.6811311372426683,0.932059308393895,1,0.6779666262190671,0.7710877202269704,0.6632245654548432,0.7746856422702364,0.7051201803689484,0.5130484226063597,-0.01175541675885805,0.00886826734356616,0.018576519436812267,0.02521127562677672,0.011016018158007235,0.010094058222858249,-0.031253051155745726,0.03768982774189788,0.12311472202330312,0.15776991094877701
