frame,ball_x,ball_y,ball_w,ball_h,ball_visible,lfoot_x,lfoot_y,lfoot_visible,rfoot_x,rfoot_y,rfoot_visible,lknee_x,lknee_y,rknee_x,rknee_y,head_x,head_y,ball_dy,ball_dy2,lfoot_dy,rfoot_dy,lknee_dy,rknee_dy,lfoot_rfoot_dy,lfoot_rfoot_dist,ball_lfoot_dist,ball_rfoot_dist
0,0.6936740875244141,0.5778303444385529,0.032047271728515625,0.05434149503707886,1,0.7334777116775513,0.6686578989028931,1,0.7496157884597778,0.6377173066139221,1,0.7562227249145508,0.5691607594490051,0.7611802220344543,0.5513694882392883,0.738058865070343,0.3089166283607483,,,,,,,0.030940592288970947,0.03489638625160732,0.0991663912104141,0.08195072996707099
1,0.7069521336851264,0.603443318795889,0.03243100643157959,0.05768096446990967,1,0.7325080332899453,0.6688564969856936,1,0.7530714460557566,0.6377476249870502,1,0.7561757186973901,0.5616038412527931,0.7610513052545992,0.5463824980241015,0.7374782300085053,0.30894102318618527,0.025612974357336116,,0.00019859808280053848,3.031837312805763e-05,-0.00755691819621207,-0.004986990215186782,0.031108871998643428,0.037290962197362415,0.07022811321331873,0.057478486382269156
2,0.7144447135245375,0.6191340525439267,0.03356665372848511,0.061720073223114014,1,0.7324946226753238,0.6702255997954198,1,0.7536307747042518,0.6380852577252836,1,0.7547758634212538,0.5624392454871995,0.7605714596006321,0.5490610096593103,0.7362263053943426,0.31040794881815675,0.015690733748037755,-0.00992224060929836,0.0013691028097262414,0.00033763273823339546,0.0008354042344064228,0.0026785116352087135,0.032140342070136274,0.03846736943144574,0.054186210615830975,0.043528100907416045
3,0.7191075216498483,0.6317323165151422,0.03318828344345093,0.06100684404373169,1,0.7353072294486351,0.6700420847823046,1,0.7513838596549698,0.6420893005887733,1,0.754094402942797,0.5654527056875533,0.7583256448192581,0.5508060802442906,0.735703939237603,0.31463432634006006,0.01259826397121544,-0.0030924697768223153,-0.00018351501311519858,0.004004042863489765,0.003013460200353868,0.0017450705849803017,0.02795278419353131,0.03224618090505239,0.041594096665870335,0.033897331961709055
4,0.7268077715121816,0.6224731518205073,0.034160614013671875,0.06279456615447998,1,0.7360570627159626,0.66961201432979,1,0.7485424257099811,0.6412943201971428,1,0.7542322771111292,0.5664418364879688,0.7578594122674285,0.5508273737400531,0.7321009771653447,0.32194920135760663,-0.009259164694634836,-0.021857428665850276,-0.0004300704525146415,-0.0007949803916305065,0.0009891308004154054,2.1293495762519932e-05,0.028317694132647175,0.030947957769173823,0.04803771171112751,0.028751201229854525
5,0.7359824306209147,0.6126802656578507,0.03549909591674805,0.06579023599624634,1,0.7347674449627434,0.6688842543529857,1,0.7329294601638255,0.6403564567006802,1,0.7546459248326228,0.5686825343772355,0.7587407016560861,0.5507427878623257,0.7297038025963184,0.3288277601833669,-0.009792886162656611,-0.000533721468021775,-0.0007277599768042986,-0.000937863496462632,0.0022406978892667295,-8.458587772741666e-05,0.02852779765230551,0.02858694504510653,0.05621711959352261,0.027844069013904092
6,0.7398183194739316,0.5966588597449143,0.034756243228912354,0.06448543071746826,1,0.7336702932946206,0.6684266982898847,1,0.7190003405151738,0.6234898662652478,1,0.7562993442885593,0.5694808415548454,0.7605729699426093,0.5477743057201097,0.7285547184568603,0.33087101523762363,-0.016021405912936437,-0.006228519750279826,-0.00045755606310105,-0.01686659043543237,0.0007983071776098694,-0.0029684821422160113,0.04493683202463683,0.047270777304394156,0.07203069398054159,0.03396014073618459
7,0.7389258646259739,0.5702140373192054,0.03414255380630493,0.05872124433517456,1,0.7321452863853258,0.6686728203043115,1,0.7221133849516471,0.5979712748607191,1,0.7579045995532819,0.5694981886461941,0.7667088728016358,0.5473651769493428,0.7287530609091034,0.3273707492983376,-0.02644482242570889,-0.010423416512772454,0.0002461220144268639,-0.025518591404528723,1.7347091348707266e-05,-0.0004091287707668201,0.07070154544359242,0.07140971624707249,0.09869198644361037,0.03245186756930436
8,0.736243237978007,0.5492827534702885,0.03552371263504028,0.06100970506668091,1,0.7312489012405589,0.6688436751415652,1,0.7272269963309882,0.5938090237806165,1,0.760236167733576,0.5693625712150421,0.7694515412333754,0.5475032497523329,0.7300943283051592,0.3233254157294514,-0.02093128384891685,0.005513538576792043,0.00017085483725365336,-0.004162251080102597,-0.00013561743115197977,0.00013807280299005242,0.07503465136094867,0.07514236237942445,0.11966518871556661,0.04542996105199551
9,0.7353323423508779,0.5334860208043857,0.036156296730041504,0.06139928102493286,1,0.7308375270597643,0.6686879821605157,1,0.7310255592396867,0.6060295765968009,1,0.7622568233147776,0.5685750064398513,0.7703007014782489,0.547726669331318,0.7314741506345466,0.3200798970527659,-0.01579673266590287,0.00513455118301398,-0.00015569298104944895,0.012220552816184393,-0.0007875647751908188,0.00022341957898508458,0.06265840556371483,0.06265868769682026,0.13527665622362828,0.07267128640511397
