frame,ball_x,ball_y,ball_w,ball_h,ball_visible,lfoot_x,lfoot_y,lfoot_visible,rfoot_x,rfoot_y,rfoot_visible,lknee_x,lknee_y,rknee_x,rknee_y,head_x,head_y,ball_dy,ball_dy2,lfoot_dy,rfoot_dy,lknee_dy,rknee_dy,lfoot_rfoot_dy,lfoot_rfoot_dist,ball_lfoot_dist,ball_rfoot_dist
0,0.7403599917888641,0.9274373948574066,0.049855053424835205,0.08779197931289673,1,0.7082470059394836,0.8778699636459351,1,0.7465932369232178,0.8770841360092163,1,0.694493293762207,0.7439212203025818,0.7036520838737488,0.7334882020950317,0.6737539172172546,0.478542298078537,,,,,,,0.00078582763671875,0.0383542821042517,0.05906076614019223,0.0507375996824623
1,0.7438104901658861,0.9310915868421247,0.04970502853393555,0.08598005771636963,1,0.71005528033676,0.8946096546443781,1,0.751085961223545,0.8745398130407908,1,0.6946405544316858,0.7506347017404729,0.7046415074203248,0.7324237469443701,0.6791922435500567,0.4807288515052401,0.003654191984718058,,0.01673969099844308,-0.0025443229684255497,0.006713481437891078,-0.0010644551506616695,0.02006984160358738,0.04567620076173442,0.04970257103500083,0.057017853337249284
2,0.7425786124434254,0.9315138546215056,0.04954010248184204,0.08541101217269897,1,0.7092195639851118,0.8925552451925183,1,0.7516622737047247,0.871905415297321,1,0.6948640906871971,0.7514550072297703,0.7044608459492226,0.7327562277939713,0.6830659026828627,0.48058523933468306,0.00042226777938092486,-0.0032319242053371333,-0.002054409451859862,-0.0026343977434697408,0.0008203054892974571,0.0003324808496012466,0.020649829895197258,0.04719956655567834,0.0512893689051103,0.060296591450719875
3,0.7398136725131451,0.9301609939557036,0.04945915937423706,0.08548295497894287,1,0.7091657326565072,0.8885898721504625,1,0.7505156644495009,0.872902685041392,1,0.6947745935443898,0.7515928874943234,0.7041606439967574,0.7343293670163736,0.6871360572860453,0.480103622980796,-0.0013528606658019804,-0.0017751284451829052,-0.0039653730420557975,0.0009972697440709943,0.00013788026455308078,0.00157313922240232,0.015687187109070466,0.044225611343204976,0.051647404442065545,0.05824986327136365
4,0.7375010225721762,0.9286827036354768,0.049294114112854004,0.08562761545181274,1,0.7092021432653095,0.8867427206129587,1,0.7495014797906252,0.872288850108059,1,0.6938252412387022,0.752481521330664,0.70292104586795,0.7351511002647589,0.6910769336547078,0.4775258251461637,-0.0014782903202268383,-0.00012542965442485787,-0.0018471515375038106,-0.0006138349333330018,0.0008886338363406354,0.0008217332483853035,0.014453870504899657,0.042812975801187335,0.0505943548822763,0.05765654940354716
5,0.7350010204277042,0.9258661656561561,0.0494459867477417,0.08565771579742432,1,0.7116350707182806,0.8845497409291352,1,0.7447220770549043,0.8728810033096144,1,0.6920071572533031,0.7501321324651696,0.6994412149403173,0.7353576229744094,0.6945114961080769,0.47663676124905935,-0.002816537979320688,-0.0013382476590938497,-0.0021929796838234816,0.0005921532015553677,-0.002349388865494406,0.0002065227096504918,0.011668737619520808,0.03508431880417519,0.04746593049806249,0.053869531006299036
6,0.7318843546018021,0.9212034697156,0.04884910583496094,0.08471900224685669,1,0.710555479638085,0.8749242340539651,1,0.7369873642939447,0.8735289821867342,1,0.6878905038858822,0.7490944928089638,0.6953283835756495,0.7341959131887924,0.6951016959450054,0.4764995268975013,-0.0046626959405561275,-0.0018461579612354395,-0.009625506875170053,0.0006479788771198702,-0.0010376396562058465,-0.0011617097856170266,0.0013952518672308845,0.026468684406930516,0.050957713455796014,0.047946819175604075
7,0.7281550905323266,0.917684718613544,0.04929906129837036,0.08358651399612427,1,0.7053607130499164,0.8700949827344401,1,0.7378111638739301,0.8746787847781533,1,0.6844902826003488,0.7474947068230066,0.6911656956631037,0.7330344782893251,0.6974985052740875,0.4786060850188405,-0.003518751102056017,0.0011439448385001105,-0.004829251319525052,0.001149802591419058,-0.001599785985957225,-0.0011614348994672952,-0.004583802043713225,0.032772595256672574,0.05276709775848464,0.04407663890807037
8,0.7225646432183204,0.9109998834433741,0.04794543981552124,0.08314192295074463,1,0.7043945149388349,0.8719544384274164,1,0.7199045042048102,0.8847967854008756,1,0.6855071157473341,0.7408907333961726,0.6873691207235371,0.7319709263013232,0.6991131303831014,0.4819780388464113,-0.006684835170169823,-0.003166084068113806,0.0018594556929762973,0.010118000622722279,-0.006603973426833942,-0.0010635519880018984,-0.012842346973459207,0.020136674075362782,0.04306623199430312,0.02633778059358817
9,0.7168070870340809,0.902004125450164,0.047934889793395996,0.08435869216918945,1,0.7059075526645382,0.8778798655654122,1,0.7016124191289372,0.8856123099701991,1,0.6879211246305481,0.730987122550788,0.6823665942715752,0.7321574935041726,0.700649205748135,0.48782708350623694,-0.008995757993210174,-0.002310922823040351,0.00592542713799582,0.0008155245693235447,-0.009903610845384603,0.00018656720284937478,-0.007732444404786931,0.00884527379801014,0.026472245172253255,0.02235105249147829
