frame,ball_x,ball_y,ball_w,ball_h,ball_visible,lfoot_x,lfoot_y,lfoot_visible,rfoot_x,rfoot_y,rfoot_visible,lknee_x,lknee_y,rknee_x,rknee_y,head_x,head_y,ball_dy,ball_dy2,lfoot_dy,rfoot_dy,lknee_dy,rknee_dy,lfoot_rfoot_dy,lfoot_rfoot_dist,ball_lfoot_dist,ball_rfoot_dist
0,0.48211124539375305,0.6747593283653259,0.0780598521232605,0.04359722137451172,1,0.5561671853065491,0.689894437789917,1,0.4090685248374939,0.6495264768600464,1,0.5873276591300964,0.5685470700263977,0.43943479657173157,0.5355878472328186,0.5623648166656494,0.3888814151287079,,,,,,,0.040367960929870605,0.15253716983550578,0.07558673014267782,0.07727830110287914
1,0.48201060877706775,0.6754823833479916,0.07807713747024536,0.043236613273620605,1,0.5675551738954129,0.6902555831168827,1,0.5078299246672401,0.6510744973232871,1,0.5767679481129897,0.5968427745471324,0.44992731035427935,0.5306692644393534,0.5574241957270113,0.3922493023083622,0.0007230549826656718,,0.0003611453269657394,0.0015480204632407624,0.02829570452073471,-0.004918582793465243,0.03918108579359558,0.07143012585269924,0.08681082912113186,0.03553001510316972
2,0.5145072580704935,0.6798368388492443,0.07552224397659302,0.04215860366821289,1,0.5631936913591692,0.6925626437442803,1,0.5913130536449773,0.637560867649172,1,0.5781636183857861,0.5934060985709967,0.4705276474451767,0.5160345206848277,0.5557704456775273,0.3859239366724708,0.004354455501252685,0.0036314005185870135,0.0023070606273976058,-0.01351362967411518,-0.003436675976135728,-0.01463474375452567,0.05500177609510837,0.06177292213403024,0.050322111408397756,0.08767204785300015
3,0.5380591308737195,0.6672223805981643,0.0746198296546936,0.04182291030883789,1,0.5465849512683781,0.6836930956267125,1,0.6062595707782475,0.601294930350438,1,0.5803003974889172,0.5782927687480558,0.49484885474795776,0.5082345371357802,0.5581818526565782,0.37974286471681956,-0.012614458251079985,-0.01696891375233267,-0.008869548117567794,-0.03626593729873395,-0.01511332982294089,-0.00779998354904754,0.08239816527627453,0.10173749483127614,0.018546537869737912,0.09485635824412388
4,0.52733987155637,0.6419805968795116,0.07592478394508362,0.04245704412460327,1,0.5468961352832505,0.6778671848309071,1,0.6154144130280189,0.6007097980234675,1,0.5810876461865158,0.5781162415202186,0.5041514669392911,0.5140038134468216,0.5568305779200456,0.3802419666003196,-0.02524178371865271,-0.012627325467572725,-0.005825910795805411,-0.00058513232697055,-0.00017652722783723096,0.005769276311041405,0.07715738680743967,0.10318922775203856,0.04086923837984448,0.09726460658254503
5,0.509341201336452,0.6206373883308474,0.0774126946926117,0.0443342924118042,1,0.5423443712739326,0.6804796293885805,1,0.6445126959518052,0.6184509691261053,1,0.5693907117559032,0.5760580756730841,0.5145060191584301,0.5196219448436578,0.5534569572206491,0.3766296292433652,-0.021343208548664228,0.003898575169988483,0.002612444557673399,0.017741171102637843,-0.0020581658471344744,0.005618131396836201,0.06202866026247522,0.11952372677188722,0.06833961545643985,0.1351891762882196
6,0.4932909281805009,0.6049447005657895,0.07687732577323914,0.044213950634002686,1,0.5447315862594826,0.6828981249423892,1,0.6638439008323792,0.6281793021059584,1,0.5687757601474484,0.5757230960010229,0.5227726176295077,0.5223231263551619,0.5535772284362329,0.37739518585870835,-0.015692687765057833,0.005650520783606394,0.002418495553808686,0.009728332979853094,-0.0003349796720611975,0.002701181511504114,0.054718822836430814,0.13107972022977996,0.09339634722855573,0.1721283334873221
7,0.47897705396656387,0.5957185329589956,0.07622435688972473,0.04270070791244507,1,0.5618703150595448,0.6848226895958051,1,0.6742305224768784,0.6353937258160076,1,0.5768724268878448,0.5773631902308799,0.5358069410973821,0.53812080107248,0.5541476034348074,0.38018113268097053,-0.009226167606793956,0.006466520158263878,0.001924564653415839,0.0072144237100492115,0.0016400942298570031,0.015797674717318078,0.04942896377979744,0.12275193958227613,0.12169980881080372,0.19924366462587836
8,0.46824909396126646,0.5908214005126078,0.07618221640586853,0.04417926073074341,1,0.5726679930015638,0.68442209652511,1,0.6653331131410488,0.6454956233262965,1,0.5810759188442118,0.5803793654403987,0.5432213620033661,0.5478994672285299,0.5549822013115279,0.3832283884613313,-0.004897132446387786,0.004329035160406169,-0.00040059307069506556,0.010101897510288893,0.003016175209518801,0.009778666156049942,0.03892647319881348,0.10050917772105758,0.14022979986726306,0.20452721397490775
9,0.46049648681686794,0.5885014903121011,0.07789766788482666,0.04489850997924805,1,0.573035658838635,0.6844460836628703,1,0.6397279330423168,0.66001914154647,1,0.5864779347845293,0.584614755575921,0.5593341217629975,0.5666488038734904,0.5554676368638446,0.3841449732888459,-0.002319910200506703,0.0025772222458810834,2.3987137760306254e-05,0.014523518220173504,0.004235390135522321,0.01874933664496048,0.024426942116400285,0.07102488957835162,0.14788654513710622,0.19297327730581454
10,0.4550065156935132,0.5875118551077303,0.07891154289245605,0.044530272483825684,1,0.5881381907210893,0.6823401076142956,1,0.6084168497645751,0.6765516322557585,1,0.5849366523696776,0.5854763790182704,0.564792232846834,0.5748938512044168,0.5574671431157739,0.3867596197826459,-0.0009896352043707868,0.0013302749961359162,-0.0021059760485746537,0.016532490709288528,0.0008616234423494129,0.008245047330926458,0.005788475358537104,0.021088633421308737,0.16345164535451165,0.17737759868248684
11,0.44977523459965035,0.5893741262687561,0.08060628175735474,0.04480099678039551,1,0.587987556283004,0.679228291629648,1,0.5822968442868378,0.6814820127653882,1,0.5825188505008972,0.5854166747934828,0.5609035598995255,0.5749164199666835,0.560082448574485,0.3912045925208142,0.0018622711610257747,0.0028519063653965615,-0.0031118159846476035,0.004930380509629684,-5.9704224787626714e-05,2.2568762266694797e-05,-0.002253721135740183,0.006120740313147761,0.16485271274020746,0.1613872355205322
12,0.44547859664884576,0.5928856493166625,0.07976266741752625,0.04515200853347778,1,0.5840409368782477,0.6650648087449738,1,0.5660024284411164,0.6808288252278031,1,0.5847654925942543,0.5760654291049861,0.5532226648844605,0.570864348895215,0.5616945536196343,0.3939693437263859,0.003511523047906473,0.0016492518868806982,-0.014163482884674283,-0.0006531875375851426,-0.009351245688496657,-0.004052071071468544,-0.015764016482829324,0.02395604312709783,0.15623492946721643,0.1491978425421405
13,0.4464363056948491,0.5954028561014963,0.07943651080131531,0.04528844356536865,1,0.5770421715859474,0.6651828230937025,1,0.5657693102477523,0.6748883349706687,1,0.5850394621381846,0.5725641422687043,0.5486838359032323,0.5640634987174106,0.5620998286540223,0.39398327863383037,0.002517206784833803,-0.0009943162630726698,0.00011801434872871219,-0.00594049025713439,-0.003501286836281814,-0.006800850177804407,-0.009705511876966222,0.01487529372967489,0.14807814152871088,0.14338168406977533
14,0.441737814411199,0.5989326040762437,0.0807027816772461,0.04562753438949585,1,0.5727235636536355,0.6719891039096265,1,0.5417783908040132,0.6632715820370952,1,0.5851965442482753,0.5808369195247955,0.538083048722601,0.5654704859084287,0.5621897116050083,0.39193518222939894,0.003529747974747366,0.0010125411899135628,0.006806280815924048,-0.011616752933573449,0.008272777256091213,0.001406987191018172,0.008717521872531275,0.03214963312840539,0.14998172779544686,0.1189437724727673
15,0.4336063807958293,0.604975407285651,0.0804305374622345,0.0459672212600708,1,0.5714397926948888,0.6781704045844483,1,0.4996033532320783,0.6696926046621622,1,0.585318612778983,0.5875744633987475,0.5215473823120796,0.5711122557304216,0.5612385950881484,0.3900254924322067,0.00604280320940731,0.0025130552346599444,0.00618130067482181,0.006421022625066941,0.006737543873951979,0.005641769821992826,0.008477799922286144,0.07233496475575522,0.15606267031326462,0.09243330572375581
16,0.42330874484461983,0.6130754150469212,0.0812215805053711,0.04522705078125,1,0.569708741624375,0.6812442954086564,1,0.44663297584399697,0.6725623416194744,1,0.5848868694829155,0.5885486241007291,0.4928918124168989,0.5693270256801702,0.5577653376003158,0.3893457002575229,0.008100007761270178,0.002057204551862868,0.0030738908242080587,0.0028697369573121856,0.0009741607019815302,-0.0017852300502513296,0.008681953789182018,0.12338160496615355,0.16149289553068547,0.0638961202637581
17,0.4074750374296965,0.62871674149177,0.0788918137550354,0.04498410224914551,1,0.566607956977856,0.6843944023042545,1,0.3816657231700179,0.6575762679787317,1,0.5844955516092841,0.5869180760463248,0.4600429787854146,0.5659128242536777,0.5505445979567856,0.3891080355018627,0.015641326444848835,0.007541318683578657,0.003150106895598137,-0.01498607364074267,-0.0016305480544042128,-0.0034142014264925136,0.026818134325522824,0.18687654260108424,0.1685920757256138,0.03871683059867491
18,0.39523203063622986,0.6437633886913617,,,0,0.5671940844800715,0.6848506625472944,1,0.3739391053998909,0.6277685879662369,1,0.584358596017434,0.5851492987459115,0.46535277856171436,0.5454716858262435,0.5417436700006518,0.38929227267692806,0.0150466471995917,-0.0005946792452571348,0.00045626024303990764,-0.029807680012494786,-0.00176877730041336,-0.020441138427434224,0.05708207458105752,0.2015089332455473,0.17680246614542652,0.026631228198428523
19,0.40394780064752805,0.5877786544063248,0.08035275340080261,0.0453946590423584,1,0.5685224365948413,0.6835483100238813,1,0.3296220756993696,0.600966400238553,1,0.583875726655119,0.5837756265843624,0.4684975353972128,0.5415132275319071,0.5327910340141886,0.3879216093712055,-0.05598473428503692,-0.07103138148462862,-0.0013023525234131528,-0.026802187727683946,-0.0013736721615490444,-0.003958458294336387,0.08258190978532831,0.25277095216772577,0.1904117583929523,0.07548662152464342
20,0.4061980909244575,0.55791649904339,0.07719427347183228,0.044004201889038086,1,0.567494910609965,0.681833172015304,1,0.32944081107697587,0.6075291919167882,1,0.5821650782283766,0.5827300132000433,0.46079487113498696,0.5492857304270933,0.5273805700416374,0.3871278385557793,-0.029862155362934795,0.026122578922102124,-0.001715138008577255,0.006562791678235258,-0.0010456133843191884,0.007772502895186162,0.0743039800985158,0.24938090496857002,0.2034010960665832,0.0913952914746419
21,0.4146291060088642,0.5142747988891264,0.08176848292350769,0.04520761966705322,1,0.5643333916259556,0.680399398499641,1,0.3766088945156867,0.6268003841399727,1,0.5770353797089195,0.5784165293877693,0.4570385191396901,0.5527596271410257,0.5212211647466618,0.38592413519880586,-0.04364170015426361,-0.013779544791328813,-0.0014337735156629838,0.01927119222318452,-0.004313483812273922,0.0034738967139323895,0.053599014359668296,0.19522638437370934,0.2236263752956647,0.11877518182697694
22,0.413987646403812,0.5213593675183169,0.08044108748435974,0.04484593868255615,1,0.5643657922348284,0.6802672078866424,1,0.40246008426889623,0.6396609676606037,1,0.5742277329213195,0.5771097944228036,0.4611077015144296,0.5557354283857072,0.5243956098778064,0.3861253720443796,0.007084568629190491,0.0507262687834541,-0.00013219061299862833,0.012860583520630908,-0.0013067349649656945,0.002975801244681553,0.04060624022603876,0.16692011567586598,0.21878137140556472,0.11886190846944972
23,0.4189367223681744,0.516843659123818,0.08503568172454834,0.05215877294540405,1,0.5650350878582154,0.6809618131171582,1,0.4357442891292845,0.6816550220584856,1,0.573435422815243,0.5776310674653887,0.46747647785634294,0.5618594656970626,0.5178815085779337,0.3817150254446316,-0.004515708394498885,-0.011600277023689376,0.0006946052305157879,0.04199405439788195,0.0005212730425850909,0.006124037311355357,-0.0006932089413274056,0.12929265707920642,0.21972596767119568,0.16566616930686812
24,0.42127030475887256,0.5105472732420283,0.08372560143470764,0.050285547971725464,1,0.5658007934029585,0.6815258411932188,1,0.45200744424460576,0.7018032652691659,1,0.573202600566119,0.5784623969156778,0.4728088832664576,0.5691410257791599,0.5176492040094077,0.37923186580513085,-0.006296385881789712,-0.001780677487290827,0.0005640280760605965,0.020148243210680317,0.0008313294502890756,0.007281560082097349,-0.020277424075947126,0.11558589983138334,0.22388106853045464,0.19371016036865477
25,0.4238837277100714,0.5032506170905362,0.08439770340919495,0.04878881573677063,1,0.566755409197572,0.6822777201324294,1,0.47001981463702214,0.711097360323117,1,0.5721253889047221,0.5816884995591404,0.4786679450896057,0.5802522474713501,0.5146724233590746,0.37530398906220436,-0.007296656151492109,-0.0010002702697023969,0.0007518789392105818,0.009294095053951068,0.0032261026434625695,0.011111221692190143,-0.028819640190687612,0.10093734153277355,0.22904807572786648,0.21290562977366645
26,0.4269851841089812,0.4998277094202263,0.08570030331611633,0.051649272441864014,1,0.5672080444261749,0.6834839875090285,1,0.4997653156968323,0.7021800456655871,1,0.5712290202566602,0.585512805441287,0.48188852670235005,0.5917709998655408,0.5099113281736432,0.37150879568642686,-0.0034229076703098937,0.0038737484811822154,0.0012062673765991239,-0.008917314657529873,0.0038243058821466613,0.011518752394190757,-0.018696058156558615,0.06998617184167966,0.23106726085052956,0.21504282256773996
27,0.4254001039018656,0.4948241034791121,0.08377176523208618,0.04852285981178284,1,0.5632579288141354,0.683923259421998,1,0.5004955903412055,0.6915334117887957,1,0.5656532313236148,0.5859782485979336,0.49578157013595353,0.5944053831474783,0.49850246011363736,0.3699108237502666,-0.005003605941114209,-0.001580698270804315,0.00043927191296955215,-0.010646633876791434,0.0004654431566465389,0.0026343832819374358,-0.007610152366797629,0.06322203373537182,0.23401553509939022,0.21055613042425345
28,0.42140640995533973,0.49162403869087856,0.07985648512840271,0.04543986916542053,1,0.5623663590855738,0.6846912764712425,1,0.4803307021702986,0.6847220587384387,1,0.5601047620251268,0.5849985872565471,0.5003193943833907,0.5896516118484768,0.4931175851736323,0.36886967025700146,-0.0032000647882335365,0.0018035411528806722,0.0007680170492444516,-0.006811353050356961,-0.0009796613413864952,-0.0047537712990014525,-3.078226719621657e-05,0.0820356626904952,0.2390495044189336,0.2018883789605578
